date,type,state,district,property_type,properties
2024-07-01,unsold_not_constructed,Johor,Kulai,all,0
2024-07-01,unsold_not_constructed,Johor,Kulai,cluster,0
2024-07-01,unsold_not_constructed,Johor,Kulai,condominium,0
2024-07-01,unsold_not_constructed,Johor,Kulai,detached,0
2024-07-01,unsold_not_constructed,Johor,Kulai,flat,0
2024-07-01,unsold_not_constructed,Johor,Kulai,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kulai,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kulai,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Kulai,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kulai,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Kulai,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kulai,townhouse,0
2024-07-01,unsold_under_construction,Johor,Kulai,all,599
2024-07-01,unsold_under_construction,Johor,Kulai,cluster,72
2024-07-01,unsold_under_construction,Johor,Kulai,condominium,0
2024-07-01,unsold_under_construction,Johor,Kulai,detached,0
2024-07-01,unsold_under_construction,Johor,Kulai,flat,0
2024-07-01,unsold_under_construction,Johor,Kulai,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kulai,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Kulai,semidetached-1-storey,63
2024-07-01,unsold_under_construction,Johor,Kulai,semidetached-2-3-storey,0
2024-07-01,unsold_under_construction,Johor,Kulai,terrace-1-storey,21
2024-07-01,unsold_under_construction,Johor,Kulai,terrace-2-3-storey,248
2024-07-01,unsold_under_construction,Johor,Kulai,townhouse,195
2024-07-01,overhang,Johor,Mersing,all,0
2024-07-01,overhang,Johor,Mersing,cluster,0
2024-07-01,overhang,Johor,Mersing,condominium,0
2024-07-01,overhang,Johor,Mersing,detached,0
2024-07-01,overhang,Johor,Mersing,flat,0
2024-07-01,overhang,Johor,Mersing,flat-lowcost,0
2024-07-01,overhang,Johor,Mersing,house-lowcost,0
2024-07-01,overhang,Johor,Mersing,semidetached-1-storey,0
2024-07-01,overhang,Johor,Mersing,semidetached-2-3-storey,0
2024-07-01,overhang,Johor,Mersing,terrace-1-storey,0
2024-07-01,overhang,Johor,Mersing,terrace-2-3-storey,0
2024-07-01,overhang,Johor,Mersing,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Mersing,all,0
2024-07-01,unsold_not_constructed,Johor,Mersing,cluster,0
2024-07-01,unsold_not_constructed,Johor,Mersing,condominium,0
2024-07-01,unsold_not_constructed,Johor,Mersing,detached,0
2024-07-01,unsold_not_constructed,Johor,Mersing,flat,0
2024-07-01,unsold_not_constructed,Johor,Mersing,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Mersing,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Mersing,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Mersing,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Mersing,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Mersing,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Mersing,townhouse,0
2024-07-01,unsold_under_construction,Johor,Mersing,all,214
2024-07-01,unsold_under_construction,Johor,Mersing,cluster,0
2024-07-01,unsold_under_construction,Johor,Mersing,condominium,0
